T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
0.022012578616352196,0.0,0.14678899082568805,0.8233438485804427,0.9358974358974359,0.03636363636363637,0.16249999999999998,0.13464991023339318,219.72083333333333
0.03459119496855345,0.08123249299719881,0.1345565749235474,0.8517350157728742,0.858974358974359,0.05454545454545454,0.16666666666666669,0.16517055655296228,182.1875
0.0,0.10084033613445376,0.07339449541284403,0.8801261829652987,0.7948717948717949,0.05454545454545454,0.18333333333333332,0.16517055655296228,154.03750000000005
0.05974842767295596,0.15966386554621842,0.10091743119266053,0.8580441640378567,0.6666666666666666,0.09090909090909094,0.3208333333333333,0.33572710951526036,223.20833333333331
0.17924528301886794,0.31092436974789905,0.1345565749235474,0.8138801261829656,0.5256410256410257,0.18181818181818185,0.34583333333333327,0.3644524236983842,200.64583333333337
0.29245283018867924,0.43137254901960775,0.3058103975535168,0.6845425867507906,0.7564102564102564,0.05454545454545454,0.18333333333333332,0.16517055655296228,285.225
0.21069182389937108,0.3137254901960783,0.2813455657492354,0.7444794952681377,0.858974358974359,0.03636363636363637,0.04583333333333334,0.10233393177737882,236.825
0.2389937106918239,0.3585434173669467,0.20183486238532106,0.7823343848580464,0.717948717948718,0.09090909090909094,0.0,0.028725314183123872,276.90833333333336
0.18867924528301883,0.2549019607843136,0.22324159021406725,0.9369085173501617,0.717948717948718,0.2727272727272727,0.2375,0.2621184919210054,108.0
0.16352201257861637,0.2549019607843136,0.19266055045871555,0.9022082018927478,0.717948717948718,0.14545454545454548,0.32916666666666666,0.33572710951526036,107.625
0.17295597484276726,0.2829131652661063,0.18960244648318042,0.9305993690851722,0.6282051282051282,0.32727272727272727,0.16666666666666669,0.2944344703770198,125.89166666666668
0.21069182389937108,0.3165266106442577,0.17125382262996938,0.899053627760253,0.5128205128205128,0.2909090909090909,0.31666666666666665,0.3644524236983842,181.01250000000005
0.17610062893081763,0.32492997198879536,0.19571865443425074,0.8864353312302882,0.641025641025641,0.2909090909090909,0.2625,0.2315978456014363,152.55416666666667
0.22012578616352196,0.34173669467787104,0.21406727828746175,0.8422712933753971,0.5512820512820513,0.2727272727272727,0.2833333333333333,0.2944344703770198,152.32083333333338
0.2578616352201258,0.3389355742296918,0.2171253822629969,0.8454258675078847,0.6794871794871795,0.05454545454545454,0.06666666666666667,0.10233393177737882,319.7375
0.2610062893081761,0.3977591036414565,0.23241590214067273,0.8170347003154603,0.7820512820512819,0.05454545454545454,0.07500000000000001,0.10233393177737882,332.7083333333333
0.3018867924528302,0.3977591036414565,0.36697247706422015,0.8107255520504779,0.7692307692307692,0.09090909090909094,0.037500000000000006,0.13464991023339318,279.6
0.3773584905660377,0.46218487394957974,0.2905198776758409,0.7507886435331201,0.5641025641025641,0.23636363636363641,0.05416666666666667,0.10233393177737882,179.11666666666667
0.24842767295597484,0.330532212885154,0.2874617737003058,0.8485804416403795,0.6666666666666666,0.4363636363636364,0.375,0.2944344703770198,54.79166666666666
0.2515723270440251,0.33333333333333326,0.2568807339449541,0.8075709779179832,0.6538461538461539,0.2727272727272727,0.4375,0.3644524236983842,93.375
0.25471698113207547,0.3585434173669467,0.2599388379204893,0.798107255520506,0.6025641025641025,0.32727272727272727,0.37083333333333335,0.2944344703770198,103.0
0.33647798742138363,0.4369747899159663,0.3149847094801223,0.7665615141955797,0.5512820512820513,0.2909090909090909,0.2625,0.2315978456014363,132.20833333333334
0.35849056603773594,0.4733893557422968,0.3119266055045871,0.7034700315457414,0.5256410256410257,0.4181818181818182,0.19166666666666665,0.16517055655296228,127.70833333333331
0.36477987421383645,0.3753501400560223,0.3883792048929663,0.6214511041009487,0.7051282051282051,0.2909090909090909,0.39999999999999997,0.3644524236983842,109.33333333333331
0.3050314465408805,0.34173669467787104,0.34250764525993876,0.7570977917981097,0.7820512820512819,0.23636363636363641,0.22916666666666669,0.2944344703770198,56.45833333333334
0.32075471698113206,0.3837535014005602,0.30886850152905193,0.798107255520506,0.7692307692307692,0.18181818181818185,0.2,0.3644524236983842,135.83333333333334
0.3962264150943396,0.4789915966386553,0.3700305810397553,0.7602523659305973,0.6923076923076923,0.23636363636363641,0.22916666666666669,0.16517055655296228,122.5
0.330188679245283,0.403361344537815,0.33027522935779813,0.8454258675078847,0.6923076923076923,0.4181818181818182,0.175,0.2315978456014363,69.66666666666667
0.34591194968553457,0.46778711484593827,0.2996941896024465,0.7507886435331201,0.6794871794871795,0.19999999999999998,0.18333333333333332,0.2315978456014363,79.83333333333333
0.43081761006289304,0.5210084033613444,0.46483180428134546,0.7318611987381729,0.5384615384615384,0.3818181818181818,0.19166666666666665,0.2315978456014363,62.70833333333334
0.36163522012578614,0.4565826330532212,0.37308868501529047,0.7823343848580464,0.4358974358974359,0.2909090909090909,0.9999999999999999,0.5673249551166966,21.20833333333333
